epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
2899,-0.00033496320247650146,0.9996460676193237,0.005565,0.005567,0.0,0.00048,3.9e-05,0.9999727010726929,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2999,-0.0006667822599411011,0.9992412328720093,0.005052,0.005053,0.0,0.000791,9.5e-05,0.9999992847442627,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3099,6.0245394706726074e-05,1.0018454790115356,0.004744,0.004745,0.0,0.000237,0.0,0.9989800453186035,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3199,-0.0008701831102371216,0.9959908723831177,0.005550000000000003,0.004871,0.0,0.000776,8.7e-05,0.9999798536300659,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3299,2.5331974029541016e-06,1.0025948286056519,0.004203,0.004204,0.0,0.000958,0.000109,0.9999818801879883,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3399,-0.00038151443004608154,0.9983291029930115,0.004841999999999999,0.004156,0.0,0.001272,0.000122,0.9999979734420776,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3499,-0.0003421306610107422,1.000662922859192,0.004373999999999999,0.004376,0.0,0.001096,0.000109,0.9999922513961792,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3599,-6.911158561706543e-05,1.0008317232131958,0.0047279999999999996,0.004728,0.0,0.001367,0.000133,0.9999997615814209,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3699,-0.00035919249057769775,0.9992455840110779,0.004338,0.004338,0.0,0.001044,0.000113,0.999995768070221,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3799,-0.0003179609775543213,1.0025663375854492,0.00534,0.005342,0.0,0.000963,0.00011,0.9999969005584717,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3899,1.4603137969970703e-06,1.0001798868179321,0.00407,0.004072,0.0,0.001019,0.0001,0.9999983310699463,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
3999,-0.0001942962408065796,1.0006064176559448,0.00463,0.004631,0.0,0.001159,0.000129,0.9999822378158569,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4099,-0.00038802623748779297,1.0018036365509033,0.0041789999999999996,0.004181,0.0,0.001065,0.000113,0.9999977946281433,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4199,-0.0005575120449066162,0.9980827569961548,0.004954999999999999,0.004957,0.0,0.000868,8.8e-05,0.9999998807907104,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4299,-0.00029462575912475586,1.002548336982727,0.00511,0.005108,0.0,0.000926,8.4e-05,0.9999901056289673,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4399,-0.000608980655670166,0.9978336691856384,0.004359,0.00436,0.0,0.00083,8.1e-05,0.9999971389770508,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4499,8.162856101989746e-05,1.0005806684494019,0.0048779999999999995,0.004878,0.0,0.001247,0.000143,0.9999882578849792,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4599,-0.0007233470678329468,1.001272439956665,0.005225,0.005227,0.0,0.001126,0.000113,0.9999818801879883,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4699,0.0006739646196365356,1.003318428993225,0.0042959999999999995,0.004298,0.0,0.000985,9.8e-05,0.999994158744812,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4799,0.00015664100646972656,1.0031565427780151,0.004712,0.004714,0.0,0.001266,0.000135,0.9999992847442627,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4899,-9.241700172424316e-05,1.0021202564239502,0.003976,0.003839,0.0,0.000963,9.5e-05,0.9999808073043823,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
4999,-0.0006253421306610107,0.998019278049469,0.004123,0.004124,0.0,0.000867,8.8e-05,0.9999701976776123,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5099,-0.0006002336740493774,0.997475266456604,0.004206000000000001,0.003991,0.0,0.001015,0.000107,0.9999955296516418,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5199,-0.0002688765525817871,1.002859115600586,0.0053739999999999994,0.005375,0.0,0.00082,9.2e-05,0.999999463558197,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5299,-0.0002669990062713623,0.999366283416748,0.004031,0.004033,0.0,0.000788,6.8e-05,0.9999943971633911,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5399,-0.0005376935005187988,0.9995424151420593,0.0044020000000000005,0.004401,0.0,0.001162,0.00014,0.9999885559082031,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5499,-0.00043210387229919434,1.0029520988464355,0.005368,0.00537,0.0,0.001015,0.000104,0.9999912977218628,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5599,-0.0005318820476531982,0.9998412132263184,0.005163,0.005164,0.0,0.000918,9.3e-05,0.9999996423721313,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
