epoch,z_bias,z_std_ratio,ks,cond_chi2,panel_median,panel_frac_gt_0.1,panel_null_median,panel_null_frac_gt_0.1,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.011721789836883545,0.8874204754829407,0.160717,325.72399788751835,0.3262482260353503,0.7668187001140251,0.0760181618051734,0.403363740022805,0.160717,0.0,0.0,0.0,0.7001262903213501,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.20799817144870758,2000000
199,-0.008705943822860718,0.9545110464096069,0.06273,148.3946580219888,0.2529189950479306,0.7964652223489168,0.0760181618051734,0.403363740022805,0.062729,0.0,0.0,0.0,0.7943235039710999,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.19087733328342438,2000000
299,-0.006835624575614929,0.9619258642196655,0.0378395,61.603516897072886,0.15692960521330604,0.6488027366020525,0.0760181618051734,0.403363740022805,0.0378395,0.0,0.0,0.0,0.8831883072853088,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.11396131664514542,2000000
399,-0.0019861459732055664,0.9815552234649658,0.0189355,25.7313776672563,0.11764705882352938,0.5624287343215507,0.0760181618051734,0.403363740022805,0.0189355,0.0,0.0,0.0,0.9768338203430176,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.049782607704401016,2000000
499,0.0012739896774291992,1.0048431158065796,0.012920000000000001,4.828540216373756,0.09457002457002453,0.4714937286202965,0.0760181618051734,0.403363740022805,0.0129195,0.0,0.001118,0.000109,0.9999960660934448,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.02133176662027836,2000000
599,0.0012045353651046753,1.0071635246276855,0.0158505,4.856817771296956,0.08695652173913049,0.44811858608893956,0.0760181618051734,0.403363740022805,0.0158505,0.0,0.0013245,0.000125,0.9999973773956299,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.017445623874664307,2000000
699,-5.143880844116211e-05,1.0019681453704834,0.0125665,3.496321780011781,0.0856378915202444,0.4338654503990878,0.0760181618051734,0.403363740022805,0.0125665,0.0,0.000781,8.45e-05,0.9999926090240479,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.013201766647398472,2000000
799,0.0006267428398132324,1.002834677696228,0.010091000000000001,3.7229599049089015,0.08108108108108122,0.4261687571265678,0.0760181618051734,0.403363740022805,0.0100895,0.0,0.001017,0.0001175,0.9999973773956299,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.012651010416448116,2000000
899,-0.00018256902694702148,0.9944791197776794,0.009225,2.9902835027562076,0.08367231180617463,0.42930444697833525,0.0760181618051734,0.403363740022805,0.009225,0.0,0.000571,5.35e-05,0.9999960660934448,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.012300888076424599,2000000
999,6.489455699920654e-05,0.9978307485580444,0.0079305,2.6267720216700647,0.08459624952162262,0.4298745724059293,0.0760181618051734,0.403363740022805,0.0079305,0.0,0.000788,8.4e-05,0.9999921917915344,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.01350325159728527,2000000
1099,0.0008012503385543823,1.0047606229782104,0.0073555,2.10581722265531,0.08000000000000004,0.4218928164196123,0.0760181618051734,0.403363740022805,0.0073555,0.0,0.00113,0.000125,0.9999989867210388,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.01188683696091175,2000000
1199,-0.001025170087814331,0.9995756149291992,0.007912500000000001,2.37739818979071,0.08060694083473469,0.4221778791334094,0.0760181618051734,0.403363740022805,0.007912,0.0,0.000762,8.35e-05,0.9999925494194031,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.012311997823417187,2000000
1299,0.0011992454528808594,1.005104660987854,0.007583,1.895136838682174,0.07913787005791245,0.41391106043329534,0.0760181618051734,0.403363740022805,0.007583,0.0,0.001098,0.000106,0.9999995231628418,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.011473741382360458,2000000
1399,-0.00019153952598571777,0.9998693466186523,0.0069105,2.4361918287418036,0.07936507936507936,0.40992018244013684,0.0760181618051734,0.403363740022805,0.0069105,0.0,0.000405,3.15e-05,0.9999915361404419,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.011814170517027378,2000000
1499,-0.0007379502058029175,0.998356282711029,0.0065060000000000005,2.3253781426311426,0.08088023088023077,0.4161915621436716,0.0760181618051734,0.403363740022805,0.0065055,0.0,0.0008225,8.4e-05,0.9999979138374329,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.010625493712723255,2000000
1599,0.000581592321395874,1.0034252405166626,0.0070265,1.9822801258328777,0.08235294117647067,0.4238882554161916,0.0760181618051734,0.403363740022805,0.007026,0.0,0.0006825,8.8e-05,0.9999854564666748,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.011474506929516792,2000000
1699,-0.002836883068084717,0.9851212501525879,0.008514,3.1273161492080708,0.08201174162672548,0.4295895096921323,0.0760181618051734,0.403363740022805,0.008514,0.0,0.0007575,8.45e-05,0.9999985694885254,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.012974238023161888,2000000
1799,0.0011328905820846558,1.0092370510101318,0.006699500000000001,2.636729184426346,0.08333333333333329,0.41961231470923605,0.0760181618051734,0.403363740022805,0.0053045,0.0,0.001213,0.0001335,0.9999934434890747,0.0,5e-07,0.0007675,6.95e-05,1.0000180006027222,0.010849937796592712,2000000
