epoch,z_bias,z_std_ratio,ks,cond_chi2,panel_median,panel_frac_gt_0.1,panel_null_median,panel_null_frac_gt_0.1,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.019087910652160645,0.9085391163825989,0.133056,408.2925667230249,0.2961699762518316,0.7404063205417607,0.05599227799227797,0.2746425884123401,0.133056,0.0,0.0,0.0,0.745804488658905,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.17099682986736298,2000000
199,-0.011693984270095825,0.9336676597595215,0.0405915,167.95545676141643,0.19444444444444448,0.6933784800601956,0.05599227799227797,0.2746425884123401,0.040518,0.0,0.0,0.0,0.8360613584518433,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.13259556889533997,2000000
299,-0.004698395729064941,0.9750593900680542,0.036308,70.95067693199478,0.13160464854838255,0.5974416854778029,0.05599227799227797,0.2746425884123401,0.0363075,0.0,0.0,0.0,0.9295873045921326,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.0633215680718422,2000000
399,-0.0033590197563171387,1.001451015472412,0.0260735,11.735623175696745,0.08997354497354498,0.4567343867569601,0.05599227799227797,0.2746425884123401,0.0260735,0.0,0.0021265,0.0002215,0.999998152256012,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.029104378074407578,2000000
499,0.00026789307594299316,1.0008325576782227,0.0153205,5.617451298323189,0.07142857142857142,0.3709556057185854,0.05599227799227797,0.2746425884123401,0.0153205,0.0,0.0015805,0.000136,0.9999943971633911,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.019340626895427704,2000000
599,0.00015944242477416992,1.0004421472549438,0.0097255,4.37183614083712,0.06418702078201434,0.31753197893152746,0.05599227799227797,0.2746425884123401,0.0097255,0.0,0.0016905,0.000168,0.9999922513961792,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.01485002227127552,2000000
699,0.00034183263778686523,1.001116394996643,0.009306,3.3661630853620235,0.059873600913472394,0.29683972911963885,0.05599227799227797,0.2746425884123401,0.009306,0.0,0.0028045,0.000312,0.9999992847442627,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.011994941160082817,2000000
799,0.00018069148063659668,1.0026181936264038,0.0082765,2.6974355282516287,0.05925048271019838,0.30248306997742663,0.05599227799227797,0.2746425884123401,0.008276,0.0,0.0014985,9.95e-05,0.9999966621398926,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.011023575440049171,2000000
899,0.00023344159126281738,1.0022419691085815,0.0078095,3.058769150306977,0.06060606060606065,0.2942061700526712,0.05599227799227797,0.2746425884123401,0.0078095,0.0,0.002872,0.0003265,0.9999959468841553,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.012095130048692226,2000000
999,0.00039574503898620605,1.0044916868209839,0.0081185,2.829441863153419,0.062385809107518675,0.2942061700526712,0.05599227799227797,0.2746425884123401,0.0081175,0.0,0.0020575,0.000224,0.999997615814209,0.0,0.0,0.002054,0.0001995,0.9999992847442627,0.011778620071709156,2000000
