arm,epoch,physics_regularization
gan_cnt,15499,2.434639e-01
gan_cnt,15599,2.173287e-01
gan_cnt,15699,2.436648e-01
gan_cnt,15799,2.419907e-01
gan_cnt,15899,2.754519e-01
gan_cnt,15999,2.045400e-01
gan_cnt,16099,2.357671e-01
gan_cnt,16199,2.233457e-01
gan_cnt,16299,2.889416e-01
gan_cnt,16399,3.136038e-01
gan_cnt,16499,2.993250e-01
gan_cnt,16599,2.793453e-01
gan_cnt,16699,2.154376e-01
gan_cnt,16799,2.384195e-01
gan_cnt,16899,3.053307e-01
gan_cnt,16999,2.803378e-01
gan_cnt,17099,3.927531e-01
gan_cnt,17199,2.851704e-01
gan_cnt,17299,2.167758e-01
gan_cnt,17399,2.637499e-01
gan_cnt,17499,3.639172e-01
gan_cnt,17599,3.475467e-01
gan_cnt,17699,2.215503e-01
gan_cnt,17799,2.271571e-01
gan_cnt,17899,2.211006e-01
gan_cnt,17999,2.169761e-01
gan_cnt,18099,2.331259e-01
gan_cnt,18199,2.450183e-01
gan_cnt,18299,2.147614e-01
gan_cnt,18399,2.639505e-01
gan_cnt,18499,2.447584e-01
gan_cnt,18599,4.598818e-01
gan_cnt,18699,4.631301e-01
gan_cnt,18799,4.235340e-01
gan_cnt,18899,2.468377e-01
gan_cnt,18999,2.801850e-01
gan_cnt,19099,2.712300e-01
gan_cnt,19199,2.925199e-01
gan_cnt,19299,3.727683e-01
gan_cnt,19399,2.262643e-01
gan_cnt,19499,1.826863e-01
gan_cnt,19599,2.532403e-01
gan_cnt,19699,3.158040e-01
gan_cnt,19799,3.484100e-01
gan_cnt,19899,3.147535e-01
gan_cnt,19999,2.429065e-01
gan_cnt,20099,2.593465e-01
gan_cnt,20199,3.011314e-01
gan_cnt,20299,3.191011e-01
gan_cnt,20399,2.235219e-01
gan_cnt,20499,4.131001e-01
gan_cnt,20599,3.773860e-01
gan_cnt,20699,3.072541e-01
gan_cnt,20799,3.948784e-01
gan_cnt,20899,4.083346e-01
gan_cnt,20999,2.975884e-01
gan_cnt,21099,4.084469e-01
gan_cnt,21199,3.833076e-01
gan_cnt,21299,3.894470e-01
gan_cnt,21399,3.819837e-01
gan_cnt,21499,3.777107e-01
gan_cnt,21599,1.757567e-01
gan_cnt,21699,2.740202e-01
gan_cnt,21799,2.462560e-01
gan_cnt,21899,2.918840e-01
gan_cnt,21999,3.213072e-01
gan_cnt,22099,4.128469e-01
gan_cnt,22199,3.429419e-01
gan_cnt,22299,4.343732e-01
gan_cnt,22399,4.075954e-01
gan_cnt,22499,3.239968e-01
gan_cnt,22599,3.465066e-01
gan_cnt,22699,3.691292e-01
gan_cnt,22799,3.517123e-01
gan_cnt,22899,2.878088e-01
gan_cnt,22999,3.495696e-01
gan_cnt,23099,3.681226e-01
gan_cnt,23199,2.303039e-01
gan_cnt,23299,3.003318e-01
gan_cnt,23399,2.086611e-01
gan_cnt,23499,3.462812e-01
gan_cnt,23599,3.690717e-01
gan_cnt,23699,4.098143e-01
gan_cnt,23799,3.747426e-01
gan_cnt,23899,3.758609e-01
gan_cnt,23999,2.887359e-01
gan_cnt,24099,3.975589e-01
gan_cnt,24199,2.686705e-01
gan_cnt,24299,4.146165e-01
gan_cnt,24399,4.042198e-01
gan_cnt,24499,3.448763e-01
gan_cnt,24599,3.344314e-01
gan_cnt,24699,2.241968e-01
gan_cnt,24799,1.982577e-01
gan_cnt,24899,2.786345e-01
gan_cnt,24999,1.964150e-01
gan_cnt,25099,2.992490e-01
gan_cnt,25199,2.399492e-01
gan_cnt,25299,2.498576e-01
gan_cnt,25399,4.145743e-01
gan_cnt,25499,4.227055e-01
gan_cnt,25599,3.034964e-01
gan_cnt,25699,3.639342e-01
gan_cnt,25799,4.293604e-01
gan_cnt,25899,3.562548e-01
gan_cnt,25999,4.277004e-01
gan_cnt,26099,4.109795e-01
gan_cnt,26199,3.646570e-01
gan_cnt,26299,4.091108e-01
gan_cnt,26399,4.397927e-01
gan_cnt,26499,2.843946e-01
gan_cnt,26599,2.956426e-01
