epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
2999,-7.919967174530029e-05,1.0002338886260986,0.005078,0.005078,0.0,0.000744,7.9e-05,0.999993085861206,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3099,0.000676378607749939,1.002929925918579,0.004716,0.004716,0.0,0.000238,3e-06,0.9997802972793579,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3199,-0.00024481117725372314,0.9970386624336243,0.005649000000000001,0.004919,0.0,0.000744,7.3e-05,0.999983549118042,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3299,0.0006093531847000122,1.003578543663025,0.004226000000000001,0.004182,0.0,0.000923,9.2e-05,0.9999754428863525,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3399,0.0002332925796508789,0.9993136525154114,0.005041,0.004223,0.0,0.00121,0.000116,0.9999873638153076,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3499,0.00027111172676086426,1.0016599893569946,0.004353,0.004353,0.0,0.001038,0.0001,0.9999983310699463,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3599,0.0005514770746231079,1.001804232597351,0.004686,0.004686,0.0,0.001308,0.000136,0.9999990463256836,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3699,0.00025853514671325684,1.000241756439209,0.004362,0.004362,0.0,0.000989,9.5e-05,0.999998927116394,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3799,0.00030422210693359375,1.0036036968231201,0.005399,0.005399,0.0,0.000923,0.000108,0.9999927282333374,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3899,0.000607222318649292,1.0011566877365112,0.004202000000000001,0.004016,0.0,0.000955,0.000108,0.9999982118606567,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3999,0.00042185187339782715,1.0016248226165771,0.004711,0.004711,0.0,0.00111,0.000115,0.9999998807907104,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
4099,0.000221937894821167,1.002825379371643,0.004151,0.004151,0.0,0.000987,0.000108,0.999989926815033,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
4199,7.97659158706665e-05,0.9991887211799622,0.004972,0.004972,0.0,0.000847,8e-05,0.9999617338180542,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
