epoch,emd_null_median,emd_gen_median,ratio_median,ratio_mean,frac_gen_below_null,n_batches,subset
38799,0.00015183080983682817,0.0001723487738513052,1.135137025459639,1.0217038337806228,0.46,100,10000
44299,0.00015183080983682817,0.00017633650261994482,1.1614013177526537,1.0339457398600735,0.49,100,10000
36099,0.00015183080983682817,0.00017317915463666012,1.1406061445814253,1.0115494241607732,0.49,100,10000
37699,0.00015183080983682817,0.00016979180073539712,1.1182960883754196,1.0045717398534908,0.52,100,10000
42499,0.00015183080983682817,0.0001735989177288344,1.1433708212147475,1.0309919541661705,0.48,100,10000
36499,0.00015183080983682817,0.00017381997084553458,1.1448267386068616,1.0084118954832781,0.5,100,10000
39599,0.00015183080983682817,0.0001697248763614656,1.1178553058095921,1.0204571233144792,0.5,100,10000
27299,0.00015183080983682817,0.00016778148649354563,1.1050555988857569,0.9776788336836935,0.49,100,10000
17699,0.00015183080983682817,0.00018562187697024335,1.2225573792942965,0.9890006452179131,0.45,100,10000
20099,0.00015183080983682817,0.00020881390059690474,1.3753065061124026,1.0555302947659473,0.49,100,10000
50099,0.00015183080983682817,0.00016591547683919572,1.0927655395996654,0.9861643397822437,0.5,100,10000
